date,dividend
2023-06-07,0.7463
2023-07-07,0.9574
2023-08-04,0.8136
2023-09-08,0.9297
2023-10-06,0.6771
2023-11-08,0.415
2023-12-07,0.5071
2024-01-05,0.626
2024-02-07,1.5304
2024-03-06,2.6219
2024-04-04,2.6083
2024-05-06,1.1988
2024-06-06,2.563
2024-07-05,2.4707
2024-08-07,1.2512
2024-09-06,1.3548
2024-10-10,1.0999
2024-11-07,1.0228
2024-12-05,1.1851
2025-01-03,0.8983
2025-01-30,0.8294
2025-02-27,1.6118
2025-03-27,0.7874
2025-04-24,0.6734
2025-05-22,1.6276
2025-06-20,0.6721
2025-07-17,1.0285
2025-08-14,0.8397
2025-09-11,0.6428
2025-10-09,0.7954
2025-10-16,0.1094
2025-10-23,0.1206
2025-10-30,0.1824
2025-11-06,0.3186
2025-11-13,0.1439
2025-11-20,0.1497
2025-11-28,0.1632
2025-12-04,0.1649
2025-12-11,0.1494
2025-12-18,0.1174
2025-12-26,0.1156
2026-01-02,0.1435
2026-01-08,0.1054
2026-01-15,0.095
2026-01-22,0.0848
2026-01-29,0.1076
2026-02-05,0.0939
2026-02-12,0.1057
2026-02-19,0.0944
2026-02-26,0.1151
2026-03-05,0.1162
2026-03-12,0.1197
2026-03-19,0.1332
2026-03-26,0.1195
2026-04-02,0.1148
2026-04-09,0.1111
2026-04-16,0.1161
2026-04-23,0.1401
2026-04-30,0.2072
2026-05-07,0.1281
2026-05-14,0.1509
2026-05-21,0.1354
2026-05-28,0.1247
2026-06-04,0.1313
2026-06-11,0.1194
2026-06-18,0.122
