date,dividend
2023-01-10,0.9986
2023-02-08,0.9029
2023-03-08,0.9023
2023-04-06,0.8286
2023-05-05,0.4402
2023-06-07,0.8033
2023-07-07,1.0661
2023-08-04,0.8303
2023-09-08,0.5849
2023-10-06,0.5769
2023-11-08,0.5846
2023-12-07,0.6039
2024-01-05,0.5565
2024-02-07,0.4046
2024-03-06,0.8109
2024-04-04,0.6841
2024-05-06,0.6942
2024-06-06,0.6448
2024-07-05,1.0035
2024-08-07,0.9661
2024-09-06,0.8186
2024-10-03,1.0949
2024-10-31,0.5986
2024-11-29,1.2208
2024-12-27,1.286
2025-01-23,0.717
2025-02-20,0.5793
2025-03-20,0.4638
2025-04-17,0.6598
2025-05-15,0.76
2025-06-12,0.4028
2025-07-10,0.3873
2025-08-07,0.3005
2025-09-04,0.3926
2025-10-02,0.802
2025-10-16,0.1938
2025-10-23,0.1652
2025-10-30,0.1128
2025-11-06,0.147
2025-11-13,0.0964
2025-11-20,0.0887
2025-11-28,0.0956
2025-12-04,0.935
2025-12-11,0.4235
2025-12-18,0.4203
2025-12-26,0.6291
2026-01-02,0.3658
2026-01-08,0.3183
2026-01-15,0.3495
2026-01-22,0.2865
2026-01-29,0.3244
2026-02-05,0.3302
2026-02-12,0.3307
2026-02-19,0.3213
2026-02-26,0.3145
2026-03-05,0.296
2026-03-12,0.2854
2026-03-19,0.2738
2026-03-26,0.2626
2026-04-02,0.2585
2026-04-09,0.2584
2026-04-16,0.267
2026-04-23,0.2955
2026-04-30,0.2995
2026-05-07,0.3384
2026-05-14,0.5165
2026-05-21,0.2862
2026-05-28,0.388
2026-06-04,0.3506
2026-06-11,0.2681
2026-06-18,0.2792
