date,close
2022-11-23,20.04
2022-11-25,20.44
2022-11-28,20.54
2022-11-29,20.38
2022-11-30,21.48
2022-12-01,21.56
2022-12-02,21.77
2022-12-05,21.02
2022-12-06,20.57
2022-12-07,19.99
2022-12-08,19.88
2022-12-09,20.47
2022-12-12,19.43
2022-12-13,18.71
2022-12-14,18.28
2022-12-15,18.35
2022-12-16,17.54
2022-12-19,17.47
2022-12-20,16.33
2022-12-21,16.26
2022-12-22,14.94
2022-12-23,14.7
2022-12-27,13.32
2022-12-28,13.67
2022-12-29,14.49
2022-12-30,14.63
2023-01-03,13.4
2023-01-04,13.98
2023-01-05,13.71
2023-01-06,14.02
2023-01-09,14.66
2023-01-10,13.56
2023-01-11,14.01
2023-01-12,14.14
2023-01-13,14.01
2023-01-17,14.46
2023-01-18,14.43
2023-01-19,14.43
2023-01-20,14.63
2023-01-23,15.51
2023-01-24,15.52
2023-01-25,15.59
2023-01-26,16.26
2023-01-27,16.34
2023-01-30,15.3
2023-01-31,15.63
2023-02-01,16.52
2023-02-02,16.73
2023-02-03,16.87
2023-02-06,17.07
2023-02-07,17.0
2023-02-08,16.49
2023-02-09,17.04
2023-02-10,16.49
2023-02-13,16.34
2023-02-14,17.47
2023-02-15,17.81
2023-02-16,17.24
2023-02-17,17.34
2023-02-21,17.01
2023-02-22,16.8
2023-02-23,17.36
2023-02-24,16.95
2023-02-27,17.85
2023-02-28,17.72
2023-03-01,17.73
2023-03-02,16.71
2023-03-03,17.37
2023-03-06,17.15
2023-03-07,16.64
2023-03-08,15.42
2023-03-09,14.61
2023-03-10,14.65
2023-03-13,14.8
2023-03-14,15.37
2023-03-15,15.28
2023-03-16,15.63
2023-03-17,15.36
2023-03-20,15.67
2023-03-21,16.25
2023-03-22,16.16
2023-03-23,16.16
2023-03-24,16.17
2023-03-27,16.35
2023-03-28,16.2
2023-03-29,16.5
2023-03-30,16.66
2023-03-31,17.25
2023-04-03,16.45
2023-04-04,16.35
2023-04-05,15.75
2023-04-06,14.86
2023-04-10,14.88
2023-04-11,15.01
2023-04-12,14.71
2023-04-13,15.11
2023-04-14,14.96
2023-04-17,15.16
2023-04-18,15.0
2023-04-19,14.68
2023-04-20,13.27
2023-04-21,13.47
2023-04-24,13.08
2023-04-25,13.26
2023-04-26,12.66
2023-04-27,13.15
2023-04-28,13.37
2023-05-01,13.38
2023-05-02,13.32
2023-05-03,13.37
2023-05-04,13.41
2023-05-05,13.38
2023-05-08,13.45
2023-05-09,13.32
2023-05-10,13.33
2023-05-11,13.57
2023-05-12,13.44
2023-05-15,13.3
2023-05-16,13.43
2023-05-17,13.9
2023-05-18,14.04
2023-05-19,14.25
2023-05-22,14.68
2023-05-23,14.55
2023-05-24,14.45
2023-05-25,14.63
2023-05-26,14.8
2023-05-30,15.32
2023-05-31,15.45
2023-06-01,15.69
2023-06-02,15.76
2023-06-05,15.91
2023-06-06,16.16
2023-06-07,15.56
2023-06-08,15.76
2023-06-09,15.83
2023-06-12,15.91
2023-06-13,16.44
2023-06-14,16.4
2023-06-15,16.4
2023-06-16,16.74
2023-06-20,17.54
2023-06-21,16.83
2023-06-22,17.14
2023-06-23,16.65
2023-06-26,15.78
2023-06-27,16.31
2023-06-28,16.77
2023-06-29,16.85
2023-06-30,17.15
2023-07-03,18.19
2023-07-05,18.37
2023-07-06,18.25
2023-07-07,17.09
2023-07-10,16.86
2023-07-11,16.82
2023-07-12,16.98
2023-07-13,17.4
2023-07-14,17.61
2023-07-17,18.04
2023-07-18,18.23
2023-07-19,18.11
2023-07-20,16.8
2023-07-21,16.52
2023-07-24,17.08
2023-07-25,16.92
2023-07-26,16.9
2023-07-27,16.41
2023-07-28,16.96
2023-07-31,17.05
2023-08-01,16.75
2023-08-02,16.32
2023-08-03,16.65
2023-08-04,15.58
2023-08-07,15.45
2023-08-08,15.35
2023-08-09,14.91
2023-08-10,15.08
2023-08-11,14.97
2023-08-14,14.81
2023-08-15,14.46
2023-08-16,14.0
2023-08-17,13.6
2023-08-18,13.37
2023-08-21,14.07
2023-08-22,14.1
2023-08-23,14.24
2023-08-24,14.13
2023-08-25,14.33
2023-08-28,14.4
2023-08-29,14.55
2023-08-30,14.56
2023-08-31,14.62
2023-09-01,14.41
2023-09-05,14.7
2023-09-06,14.66
2023-09-07,14.69
2023-09-08,14.05
2023-09-11,14.62
2023-09-12,14.5
2023-09-13,14.66
2023-09-14,14.78
2023-09-15,14.74
2023-09-18,14.33
2023-09-19,14.39
2023-09-20,14.2
2023-09-21,13.89
2023-09-22,13.32
2023-09-25,13.44
2023-09-26,13.3
2023-09-27,13.18
2023-09-28,13.49
2023-09-29,13.68
2023-10-02,13.85
2023-10-03,13.64
2023-10-04,14.32
2023-10-05,14.32
2023-10-06,13.85
2023-10-09,13.79
2023-10-10,13.96
2023-10-11,13.97
2023-10-12,13.86
2023-10-13,13.46
2023-10-16,13.68
2023-10-17,13.69
2023-10-18,13.11
2023-10-19,11.94
2023-10-20,11.53
2023-10-23,11.55
2023-10-24,11.8
2023-10-25,11.61
2023-10-26,11.26
2023-10-27,11.37
2023-10-30,10.93
2023-10-31,11.11
2023-11-01,11.38
2023-11-02,12.0
2023-11-03,12.15
2023-11-06,12.16
2023-11-07,12.29
2023-11-08,11.75
2023-11-09,11.17
2023-11-10,11.29
2023-11-13,11.52
2023-11-14,11.67
2023-11-15,11.63
2023-11-16,11.25
2023-11-17,11.3
2023-11-20,11.35
2023-11-21,11.62
2023-11-22,11.34
2023-11-24,11.39
2023-11-27,11.45
2023-11-28,11.76
2023-11-29,11.73
2023-11-30,11.67
2023-12-01,11.63
2023-12-04,11.58
2023-12-05,11.73
2023-12-06,11.77
2023-12-07,11.31
2023-12-08,11.43
2023-12-11,11.29
2023-12-12,11.22
2023-12-13,11.31
2023-12-14,11.74
2023-12-15,11.87
2023-12-18,11.88
2023-12-19,12.08
2023-12-20,11.72
2023-12-21,12.05
2023-12-22,12.03
2023-12-26,12.21
2023-12-27,12.4
2023-12-28,12.12
2023-12-29,11.93
2024-01-02,11.98
2024-01-03,11.53
2024-01-04,11.5
2024-01-05,10.96
2024-01-08,11.1
2024-01-09,10.89
2024-01-10,10.85
2024-01-11,10.55
2024-01-12,10.2
2024-01-16,10.25
2024-01-17,10.08
2024-01-18,9.92
2024-01-19,9.94
2024-01-22,9.82
2024-01-23,9.82
2024-01-24,9.75
2024-01-25,8.67
2024-01-26,8.73
2024-01-29,8.93
2024-01-30,8.97
2024-01-31,8.92
2024-02-01,9.0
2024-02-02,9.01
2024-02-05,8.78
2024-02-06,8.95
2024-02-07,8.67
2024-02-08,8.75
2024-02-09,8.9
2024-02-12,8.72
2024-02-13,8.58
2024-02-14,8.76
2024-02-15,9.12
2024-02-16,9.16
2024-02-20,9.02
2024-02-21,9.08
2024-02-22,9.21
2024-02-23,9.04
2024-02-26,18.53
2024-02-27,18.59
2024-02-28,18.78
2024-02-29,18.83
2024-03-01,19.0
2024-03-04,17.87
2024-03-05,17.21
2024-03-06,15.99
2024-03-07,16.15
2024-03-08,15.91
2024-03-11,16.15
2024-03-12,16.21
2024-03-13,15.51
2024-03-14,14.85
2024-03-15,14.93
2024-03-18,15.52
2024-03-19,15.54
2024-03-20,15.73
2024-03-21,15.72
2024-03-22,15.72
2024-03-25,15.86
2024-03-26,16.13
2024-03-27,16.2
2024-03-28,16.11
2024-04-01,16.05
2024-04-02,15.41
2024-04-03,15.54
2024-04-04,15.08
2024-04-05,14.65
2024-04-08,15.29
2024-04-09,15.52
2024-04-10,15.3
2024-04-11,15.48
2024-04-12,15.33
2024-04-15,14.57
2024-04-16,14.22
2024-04-17,14.09
2024-04-18,13.61
2024-04-19,13.34
2024-04-22,12.98
2024-04-23,13.18
2024-04-24,14.71
2024-04-25,15.2
2024-04-26,15.05
2024-04-29,16.05
2024-04-30,15.84
2024-05-01,15.75
2024-05-02,15.8
2024-05-03,15.93
2024-05-06,15.48
2024-05-07,15.09
2024-05-08,14.89
2024-05-09,14.66
2024-05-10,14.37
2024-05-13,14.58
2024-05-14,14.86
2024-05-15,14.78
2024-05-16,14.87
2024-05-17,15.04
2024-05-20,14.88
2024-05-21,15.55
2024-05-22,15.31
2024-05-23,14.86
2024-05-24,15.32
2024-05-28,15.17
2024-05-29,15.15
2024-05-30,15.35
2024-05-31,15.3
2024-06-03,15.2
2024-06-04,15.15
2024-06-05,15.22
2024-06-06,14.83
2024-06-07,14.78
2024-06-10,14.54
2024-06-11,14.3
2024-06-12,14.84
2024-06-13,15.24
2024-06-14,15.08
2024-06-17,15.63
2024-06-18,15.56
2024-06-20,15.44
2024-06-21,15.59
2024-06-24,15.63
2024-06-25,15.88
2024-06-26,16.03
2024-06-27,16.1
2024-06-28,16.16
2024-07-01,16.72
2024-07-02,17.11
2024-07-03,17.72
2024-07-05,16.94
2024-07-08,17.05
2024-07-09,17.17
2024-07-10,17.27
2024-07-11,16.1
2024-07-12,16.55
2024-07-15,16.84
2024-07-16,17.11
2024-07-17,16.64
2024-07-18,16.71
2024-07-19,16.1
2024-07-22,16.7
2024-07-23,16.48
2024-07-24,14.75
2024-07-25,15.1
2024-07-26,15.11
2024-07-29,15.74
2024-07-30,15.3
2024-07-31,15.85
2024-08-01,15.04
2024-08-02,14.37
2024-08-05,13.89
2024-08-06,14.1
2024-08-07,12.45
2024-08-08,13.01
2024-08-09,13.12
2024-08-12,12.99
2024-08-13,13.54
2024-08-14,13.3
2024-08-15,13.72
2024-08-16,13.73
